time,seconds_elapsed,bpm,rolling_mean
2024-12-11 14:47:47.638236700,7183.063236572266,77.0,83.19
2024-12-11 14:47:52.638236700,7188.063236572266,76.0,83.12
2024-12-11 14:48:01.638236700,7197.063236572266,70.0,83.03
2024-12-11 14:48:04.638236700,7200.063236572266,74.0,82.94
2024-12-11 14:48:07.638236700,7203.063236572266,73.0,82.84
2024-12-11 14:48:16.638236700,7212.063236572266,63.0,82.68
2024-12-11 14:48:21.638236700,7217.063236572266,65.0,82.48
2024-12-11 14:48:26.638236700,7222.063236572266,61.0,82.3
2024-12-11 14:48:27.638236700,7223.063236572266,66.0,82.13
2024-12-11 14:48:32.638236700,7228.063236572266,64.0,82.01
2024-12-11 14:48:41.638236700,7237.063236572266,77.0,81.96
2024-12-11 14:48:46.638236700,7242.063236572266,71.0,81.9
2024-12-11 14:48:49.638236700,7245.063236572266,77.0,81.81
2024-12-11 14:48:52.638236700,7248.063236572266,68.0,81.7
2024-12-11 14:48:57.638236700,7253.063236572266,74.0,81.57
2024-12-11 14:49:02.638236700,7258.063236572266,78.0,81.47
2024-12-11 14:49:08.638236700,7264.063236572266,80.0,81.38
2024-12-11 14:49:16.638236700,7272.063236572266,74.0,81.28
2024-12-11 14:49:20.638236700,7276.063236572266,72.0,81.15
2024-12-11 14:49:23.638236700,7279.063236572266,71.0,81.05
2024-12-11 14:49:27.638236700,7283.063236572266,76.0,80.97
2024-12-11 14:49:32.638236700,7288.063236572266,66.0,80.88
2024-12-11 14:49:41.638236700,7297.063236572266,64.0,80.76
2024-12-11 14:49:44.638236700,7300.063236572266,63.0,80.61
2024-12-11 14:50:48.888236800,7364.313236816406,68.0,80.53
2024-12-11 14:50:55.013237000,7370.438237060547,74.0,80.43
2024-12-11 14:51:04.013237000,7379.438237060547,75.0,80.36
2024-12-11 14:51:05.013237000,7380.438237060547,71.0,80.3
2024-12-11 14:51:11.013237000,7386.438237060547,77.0,80.24
2024-12-11 14:51:15.013237000,7390.438237060547,76.0,80.19
2024-12-11 14:51:20.013237000,7395.438237060547,75.0,80.16
2024-12-11 14:51:25.013236700,7400.438236816406,81.0,80.16
2024-12-11 14:51:30.013237000,7405.438237060547,89.0,80.16
2024-12-11 14:51:39.013237000,7414.438237060547,86.0,80.16
2024-12-11 14:51:41.013237000,7416.438237060547,84.0,80.17
2024-12-11 14:51:45.013237000,7420.438237060547,88.0,80.19
2024-12-11 14:51:50.013237000,7425.438237060547,92.0,80.24
2024-12-11 14:51:57.013237000,7432.438237060547,94.0,80.35
2024-12-11 14:52:03.013237000,7438.438237060547,94.0,80.49
2024-12-11 14:52:07.013237000,7442.438237060547,97.0,80.64
2024-12-11 14:52:10.013237000,7445.438237060547,93.0,80.8
2024-12-11 14:52:15.013236700,7450.438236816406,95.0,80.97
2024-12-11 14:52:23.013237000,7458.438237060547,101.0,81.14
2024-12-11 14:52:29.013237000,7464.438237060547,96.0,81.32
2024-12-11 14:52:31.013237000,7466.438237060547,96.0,81.49
2024-12-11 14:52:35.013237000,7470.438237060547,98.0,81.6
2024-12-11 14:52:49.013237000,7484.438237060547,90.0,81.62
2024-12-11 14:52:59.013237000,7494.438237060547,93.0,81.64
2024-12-11 14:53:01.013236700,7496.438236816406,91.0,81.66
2024-12-11 14:53:06.013237000,7501.438237060547,91.0,81.7
2024-12-11 14:53:14.013237000,7509.438237060547,88.0,81.68
2024-12-11 14:53:19.013237000,7514.438237060547,79.0,81.61
2024-12-11 14:53:21.013237000,7516.438237060547,75.00000000000001,81.54
2024-12-11 14:53:29.013237000,7524.438237060547,79.0,81.47
2024-12-11 14:53:30.013237000,7525.438237060547,80.0,81.4
2024-12-11 14:53:35.013236700,7530.438236816406,71.0,81.32
