,time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed,heartbeat,sound,motion
487,1742830198000052500,487.6270524902344,50.01446067914367,1.1465494699443672,40.54918211,51.50845016493224,5.3001738749444485,30.24699858242901,4.742849683,3.365993748961837,0.002946492,1.2608751120828154,102.0,-68.10780658972288,0.24935412716614402
488,1742830199000059600,488.6270595703125,50.08670523669571,1.1503713441480352,39.932338772637486,51.50846014020828,5.372418432496488,30.784715579210207,4.743833600941848,3.364606930885677,0.002957578,1.3239393331130216,102.0,-59.793443756347656,1.3303182514573395
489,1742830200000065300,489.6270651855469,49.88861723896116,1.1512154210119627,39.92880005636452,51.50847154439349,5.174330434761941,28.298155620836077,4.7436090412935465,3.3649235201036825,0.002966927,1.312271490040292,102.0,-61.05533084554359,5.411692666818162
490,1742830201000071400,490.6270715332032,50.02888862323016,1.160553481978554,40.92208065996245,51.50848272790105,5.3146018190309405,28.450337657410675,4.744737182,3.363332588809984,0.00297751,1.307132724134233,102.0,-67.04492564695815,6.409834954493305
491,1742830202000078000,491.6270781,50.03653095848858,1.165050004,41.56762847567018,51.50849330055052,5.322244154289365,25.83330212543744,4.7457053403346645,3.361966367396896,0.0029859,1.290441266,102.0,-69.9933218238086,4.8526386102749814
492,1742830203000084000,492.627084,50.032447930425406,1.1696795594979217,36.73712022,51.50850427043291,5.318161126226187,28.342237165099014,4.746822029833592,3.3603895086545146,0.002998145,1.4619652870783253,102.0,-71.89613890751953,5.546031546720251
493,1742830204000090400,493.6270903320312,50.19534964952618,1.1598333857180794,38.01936995536212,51.50851467,5.481062845,26.72853954378181,4.746836345,3.360369287512327,0.003006578,1.4148614700139606,102.0,-70.49866348098604,2.16347683060122
494,1742830205000097300,494.6270971679688,50.87934184446931,1.150621161168201,38.711851576626856,51.50852581,6.16505504,18.974851904479166,4.748450872158901,3.358087453816862,0.003010051,1.3558048500575477,102.0,-70.86459405107422,1.7752960274746863
495,1742830206000102100,495.6271020507813,51.09716008603573,1.1541576924280963,40.20715862562423,51.50853526394633,6.382873282,20.77687313810581,4.749512965129376,3.356585113900258,0.003018591,1.311509891,102.0,-74.3312017338086,2.7735257629339256
496,1742830207000109300,496.6271094,51.331961845979095,1.1432973120617662,37.049838501013205,51.50854929928866,6.617675041779876,16.177196237063146,4.749671174308192,3.3563612393088262,0.003021952,1.423059987336752,102.0,-71.62339969199219,1.8742584863439637
497,1742830208000115000,497.6271149902344,51.33055803179741,1.1602603930026518,39.03672198577832,51.50856365951034,6.616271228,12.32391606588356,4.750588006766908,3.355063430510853,0.003024298,1.3773890673202496,104.0,-71.65610573177406,4.529572657271098
498,1742830209000121000,498.6271211,51.19514047,1.133450854300127,46.41026377228475,51.50857110090665,6.480853669345379,22.058814337394203,4.748753033392678,3.357660146684396,0.003032951,1.1241096733518428,104.0,-67.4217449600673,2.0845331786231873
499,1742830210000128300,499.6271281738281,51.31209427677095,1.1733986668361112,43.84077255373269,51.508583413761066,6.597807472571731,22.015980952422797,4.751200736356263,3.35419567044568,0.003038808,1.226580383323856,104.0,-64.48208917223275,0.0
500,1742830211000134700,500.6271348,51.221012353897095,1.1567461289877397,41.90010532757895,51.50859468770789,6.506725549697876,23.99319253907756,4.746960179,3.360194353709987,0.003047687,1.2721915047793408,104.0,-61.03758033843692,0.6604622505440173
501,1742830212000140500,501.6271406,51.35164327733219,1.1505379105529556,40.96595939704141,51.50860430946982,6.637356473132968,29.392672105443246,4.746706925949691,3.360552096297581,0.003058464,1.2895316822433582,104.0,-58.29320550704062,3.38644734495232
502,1742830213000147200,502.62714721679686,51.436645220033824,1.156490032381135,45.229756561606415,51.50861277837936,6.722358415834606,30.18012931246238,4.747359879095608,3.359629624101765,0.003066476,1.1663329082492018,104.0,-60.86788678344727,3.1239642603492994
503,1742830214000153000,503.6271530761719,51.412124830298126,1.1266413201500622,53.557162881648985,51.508622927701055,6.697838026098907,21.609832336611174,4.747020555334681,3.360109057756735,0.003067155,0.9599197585668384,104.0,-64.53341539078124,1.5450793868618176
504,1742830215000158700,504.62715869140624,51.467472554184496,1.122041728945364,46.63088329662638,51.50863367657291,6.753185749985278,26.889690430537204,4.747338984471522,3.35965914927478,0.003076223,1.0839550041058563,104.0,-67.292426788125,0.9861831922941691
505,1742830216000165600,505.6271655273438,51.51397901400924,1.1557716653280266,42.11457630965446,51.5086445467114,6.7996922098100185,31.895439773976715,4.746978183244988,3.3601689184600456,0.003087419,1.2212729530221371,104.0,-66.38457936865234,4.964299841429925
506,1742830217000171500,506.6271716308594,51.85042731743306,1.1671250926376386,40.979979352030895,51.50865318176557,7.1361405132338405,34.88545519704368,4.745979200886335,3.361579756237109,0.003100047,1.2485789985132068,104.0,-71.85547267705078,0.8874981757667094
507,1742830218000177400,507.6271774902344,51.47470946237445,1.1890268147206933,48.39984112693988,51.50865666248131,6.760422658,45.90187952751872,4.743498444116512,3.365079426024453,0.003113631,1.0410331653941929,104.0,-72.08539278099609,1.363492477179117
508,1742830219000184000,508.6271840820313,51.506031569093466,1.2141423547131307,50.17181814272536,51.50865666906434,6.791744764894247,58.41238074358385,4.740403166764351,3.3694383581421024,0.003127786,0.9136907272657082,104.0,-68.88381842944094,1.2563966520036676
509,1742830220000189700,509.6271896972656,51.795474871993065,1.2544490855850536,48.47199199584071,51.50865576836698,7.081188067793846,70.73013737326198,4.738299226,3.3723964001199667,0.003143678,0.8748206471613906,104.0,-67.44344440214844,2.2508783417118723
510,1742830221000196400,510.6271962890625,51.938082771375775,1.283297294,54.58779581895439,51.50865745596319,7.223795967176557,70.65441477669076,4.735812106428391,3.375888138756248,0.003154413,0.7875740683837755,104.0,-68.75830062734374,1.8591292547560596
511,1742830222000203000,511.6272031,52.12183654,1.2194147615719748,97.94099672806566,51.50865536046753,7.407549735158682,78.16151860996348,4.735046892297601,3.376961350168471,0.003157622,0.3934881793792412,104.0,-68.36021712664498,0.014931416861337601
512,1742830223000209000,512.627209,52.08025169931352,1.008406938213562,180.0,51.508654578208834,7.365964895114303,81.55235270608911,4.741325282,3.368140674101671,0.003154504,0.0,104.0,-66.54348301814453,0.03742808033439213
513,1742830223999131600,513.6261315917968,52.08025169931352,1.060129359315149,180.0,51.508654578208834,7.365964895114303,81.55235270608911,4.751578241093136,3.353660873069771,0.003154504,0.0,104.0,-59.57105911365234,0.17726110943648407
514,1742830224999121400,514.6261213378906,52.08025169931352,1.0239741904133577,180.0,51.508654578208834,7.365964895114303,81.55235270608911,4.745639978188995,3.362058629798593,0.003154504,0.0,104.0,-60.654187537737165,0.02078375384096478
515,1742830225999129000,515.6261291503906,52.08025169931352,0.9529231456379308,180.0,51.508654578208834,7.365964895114303,81.55235270608911,4.744112475949721,3.364213704318893,0.003154504,0.0,104.0,-62.681544283644456,0.14347363587328954
516,1742830226999134700,516.6261348,51.53806206025183,0.8772632197282004,180.0,51.50865229705231,6.823775256052613,81.55234924823496,4.744114870598296,3.3642103274553072,0.003151982,0.0,104.0,-61.69704761481445,0.0
