time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1742830861000237600,1150.6272375488281,51.70134143996984,1.2151193263466702,-1,51.51187350018194,6.987054635770619,203.46410195042608,4.754051593215769,3.350153799727923,0.00022355,0
1742830862000240400,1151.6272404785157,51.70134143996984,1.1734774052774597,-1,51.51187350018194,6.987054635770619,203.46410195042608,4.752122035246088,3.3528902748102887,0.00022355,0
1742830863000240600,1152.6272407226563,51.33273825608194,1.3219370273240723,-1,51.511875684613386,6.618451452,203.46410304275105,4.756150540009201,3.347173296015463,0.000224895,0.080985687
1742830864000243500,1153.6272434082032,51.41919352952391,1.516087781153929,-1,51.51187947356905,6.704906725,203.46410201222255,4.758828322580372,3.343365075637974,0.000222035,0.1977619836974582
1742830865000244700,1154.6272446289063,51.362507625482976,1.1707045575644044,-1,51.51188002740736,6.648220821283758,203.46410051437473,4.755963647342282,3.347438844541829,0.000219224,0
1742830866000245500,1155.6272456054687,51.362507625482976,1.1704858600264858,-1,51.51188002740736,6.648220821283758,203.46410051437473,4.755651655578562,3.3478820713372976,0.000219224,0
1742830867000246500,1156.6272465820311,51.362507625482976,1.0997443041651305,-1,51.51188002740736,6.648220821283758,203.46410051437473,4.756161987997674,3.3471570289896544,0.000219224,0
1742830868000249000,1157.6272490234376,51.362507625482976,1.0099684724095839,-1,51.51188002740736,6.648220821283758,203.46410051437473,4.756946070646194,3.3460426048920193,0.000219224,0
1742830869000249900,1158.6272497558593,51.362507625482976,1.280532718,-1,51.51188002740736,6.648220821283758,203.46410051437473,4.756009760443012,3.347373327156628,0.000219224,0
1742830870000251400,1159.6272514648438,51.362507625482976,1.27779671,-1,51.51188002740736,6.648220821283758,203.46410051437473,4.7549718975337525,3.348847456432302,0.000219224,0
1742830871000253200,1160.6272531738282,51.362507625482976,1.2786528439442226,-1,51.51188002740736,6.648220821283758,203.46410051437473,4.755464256,3.348148256,0.000219224,0
1742830872000254200,1161.6272541503906,51.362507625482976,1.2799805285752326,-1,51.51188002740736,6.648220821283758,203.46410051437473,4.756099159148649,3.347246304222973,0.000219224,0
1742830873000256500,1162.6272565917968,51.362507625482976,1.2858703969482896,-1,51.51188002740736,6.648220821283758,203.46410051437473,4.7574087117238815,3.345384788391697,0.000219224,0
1742830874000257300,1163.6272573242188,51.49221685435623,1.2980746470313824,-1,51.51188054654257,6.7779300501570106,203.46409823701794,4.757658648923315,3.345029329185921,0.000215039,0.016313322071558077
