time,seconds_elapsed,steps
1742830176454135000,466.0811350097656,675
1742830179014088000,468.641087890625,675
1742830181574035200,471.20103515625,675
1742830184134028500,473.7610285644531,684
1742830186694105000,476.32110498046876,688
1742830189254206700,478.88120678710936,693
1742830191814299600,481.4412995605469,697
1742830194374368300,484.0013681640625,702
1742830196934424800,486.5614248046875,704
1742830199494493700,489.12149365234376,704
1742830202054544000,491.6815439453125,707
1742830204614554600,494.2415546875,713
1742830207174528500,496.8015285644531,718
1742830209734463700,499.36146362304686,722
1742830212294364400,501.9213645019531,727
1742830214854223600,504.4812236328125,731
1742830217414043400,507.04104345703126,736
1742830219973826800,509.60082690429687,740
1742830222537373200,512.1643732910156,744
1742830225097206500,514.7242065429688,744
1742830232776801000,522.4038010253906,744
1742830235336657000,524.9636569824219,744
1742830240456358000,530.0833579101562,744
1742830243016211200,532.6432111816406,755
1742830245576066600,535.2030666503906,760
1742830248135929300,537.7629294433593,765
1742830250695800800,540.32280078125,769
1742830253255678700,542.8826787109375,774
1742830255815565600,545.4425656738281,779
1742830258375459000,548.002458984375,784
1742830260935355100,550.5623552246094,788
1742830263495245800,553.1222458496094,793
1742830266055133200,555.6821333007813,798
1742830268615020300,558.2420202636719,803
1742830271174916900,560.8019167480469,808
1742830273734822700,563.3618227539063,813
1742830276294741500,565.9217414550782,818
1742830278854675500,568.4816755371094,822
1742830281414618600,571.0416186523438,827
1742830283974571800,573.6015717773438,832
1742830286534538800,576.1615388183594,836
1742830289094519800,578.7215197753907,841
1742830291654512400,581.2815124511719,846
1742830294214511000,583.8415109863281,851
1742830296774505700,586.4015056152343,856
1742830299334495500,588.9614956054687,860
1742830301894479600,591.5214797363282,865
1742830304454454300,594.0814543457032,870
1742830307014420700,596.6414206542969,874
1742830309574380800,599.201380859375,879
1742830312134338800,601.7613388671875,883
1742830314694294500,604.3212944335937,888
1742830317254244900,606.8812448730469,893
1742830319814191000,609.4411911621094,897
1742830322374128400,612.0011284179687,902
1742830324934059300,614.5610593261719,907
1742830327493981400,617.1209814453125,911
1742830330053895200,619.6808952636719,916
1742830332613801500,622.2408015136718,920
1742830335173706200,624.8007062988281,923
1742830337733609000,627.3606088867188,923
1742830340293505800,629.920505859375,923
1742830342853398800,632.4803986816406,923
1742830345413295600,635.0402956542969,923
1742830347973203000,637.6002028808593,923
1742830350533115000,640.1601149902343,934
1742830353093029400,642.720029296875,939
1742830355652940800,645.2799409179687,943
1742830358212854000,647.8398540039062,948
1742830360772768500,650.3997685546875,952
1742830363332678400,652.9596784667968,956
1742830365892587800,655.519587890625,960
1742830368452497000,658.0794968261719,965
1742830371012401200,660.6394011230469,969
1742830373572311300,663.1993112792969,974
1742830376132220000,665.7592199707032,978
1742830378692122400,668.3191223144531,983
1742830381252023000,670.8790229492188,985
1742830383811922700,673.4389226074219,987
1742830386371821000,675.9988210449219,992
1742830388931726000,678.5587260742187,997
1742830391491639000,681.1186391601562,1001
1742830394051563000,683.6785629882812,1006
1742830396611496200,686.23849609375,1010
1742830399171438600,688.7984384765625,1015
1742830401731394000,691.3583940429687,1020
1742830404291347500,693.9183474121094,1024
1742830406851296500,696.4782966308594,1029
1742830409411250400,699.0382504882813,1033
1742830411971209500,701.5982094726562,1038
1742830414531174700,704.1581745605469,1042
1742830417091137500,706.7181374511719,1042
1742830419651090200,709.2780900878906,1042
1742830422212286000,711.8392858886718,1042
1742830424772236500,714.3992365722656,1042
1742830427332189200,716.9591892089844,1053
1742830429892131600,719.5191315917968,1058
1742830432452044500,722.0790444335937,1063
1742830435011918800,724.6389189453125,1067
1742830437571750700,727.1987507324219,1072
1742830440131540700,729.7585407714844,1076
1742830442691290400,732.3182902832032,1081
1742830445250997000,734.8779970703125,1085
1742830447810664200,737.4376643066406,1090
1742830450370294800,739.9972946777344,1095
1742830452929892600,742.556892578125,1099
1742830455489462300,745.1164621582031,1104
1742830458049004500,747.6760046386719,1108
1742830460608519000,750.2355187988281,1112
1742830463168007700,752.7950075683593,1117
1742830465727471400,755.3544714355469,1120
1742830468286910500,757.9139104003906,1124
1742830470846328000,760.473328125,1128
1742830473405725000,763.0327248535157,1133
1742830475965103600,765.592103515625,1138
1742830478524461600,768.1514616699219,1142
1742830481083804700,770.7108046875,1147
1742830483643129300,773.2701293945313,1152
1742830486202438100,775.8294382324219,1156
1742830488761729800,778.3887297363282,1161
1742830491321007600,780.9480075683593,1165
1742830493880271400,783.5072712402343,1170
1742830496439523300,786.0665234375,1175
1742830498998766300,788.6257663574219,1179
1742830501557997000,791.1849970703125,1184
1742830504117216000,793.7442160644531,1188
1742830506676425500,796.3034255371093,1193
1742830509235625200,798.8626252441406,1198
1742830511794816500,801.42181640625,1202
1742830514353996500,803.9809965820313,1207
1742830516913164500,806.5401645507812,1212
1742830519472322600,809.0993225097657,1216
1742830522031469800,811.6584697265625,1221
1742830524590606300,814.2176064453125,1226
1742830527149734400,816.776734375,1230
1742830529708852000,819.3358520507812,1234
1742830532267961600,821.8949616699218,1240
1742830534827063800,824.4540637207032,1245
1742830537386157600,827.0131574707032,1250
1742830539945247500,829.5722475585937,1255
1742830542504328700,832.1313286132812,1260
1742830545063404000,834.6904040527344,1265
1742830547622471200,837.2494711914062,1269
1742830550181531000,839.8085307617188,1274
1742830552740584000,842.367583984375,1279
1742830555299627800,844.9266276855469,1284
1742830557858666000,847.485666015625,1288
1742830560417697800,850.0446977539062,1293
1742830562976723200,852.6037231445313,1298
1742830565535741400,855.1627414550782,1302
1742830568094752300,857.7217521972656,1307
1742830570653757700,860.2807578125,1312
1742830573212756200,862.8397561035156,1316
1742830575771749000,865.3987490234375,1321
1742830578330736000,867.9577360839844,1326
1742830580889719600,870.5167194824219,1330
1742830583448693800,873.0756938476562,1335
1742830586007663600,875.6346635742187,1339
1742830588566629000,878.1936291503906,1344
1742830591125589000,880.7525891113281,1348
1742830593684542700,883.3115427246094,1353
1742830596243493000,885.8704931640625,1357
1742830598802437400,888.4294372558594,1362
1742830601361377300,890.9883771972657,1366
1742830603920312800,893.5473127441406,1370
1742830606479242800,896.1062426757812,1372
1742830616757685200,906.3846853027344,1372
1742830619316876300,908.9438762207031,1372
1742830621876108300,911.5031083984375,1372
1742830624435381500,914.0623815917969,1372
1742830626994681900,916.6216818847656,1372
1742830629554017000,919.1810170898437,1372
1742830632113389800,921.7403898925782,1383
1742830634672808200,924.2998081054687,1387
1742830637232273200,926.8592731933594,1392
1742830639791764200,929.4187641601562,1397
1742830642351277000,931.9782770996094,1402
1742830644910803200,934.5378032226563,1407
1742830647470347000,937.0973469238281,1412
1742830650029907200,939.6569072265625,1417
1742830652589489000,942.2164890136719,1422
1742830655149090800,944.7760908203124,1426
1742830657708704500,947.3357045898438,1431
1742830660268331000,949.8953310546875,1436
1742830662827966200,952.4549663085937,1440
1742830665387611100,955.0146110839844,1445
1742830667947268600,957.5742685546875,1450
1742830670506938600,960.1339387207031,1455
1742830673066616000,962.6936159667969,1459
1742830675626308000,965.2533081054687,1464
1742830678186007600,967.8130075683594,1468
1742830680745711600,970.3727116699218,1473
1742830683305416200,972.9324162597657,1478
1742830685865118500,975.4921184082032,1482
1742830688424814600,978.0518146972656,1487
1742830690984504600,980.6115046386719,1492
1742830693544189000,983.1711889648437,1497
1742830696103866600,985.7308666992187,1501
1742830698663535600,988.2905356445312,1506
1742830701223198500,990.8501984863282,1511
1742830703782858800,993.4098586425781,1515
1742830706342516500,995.9695166015625,1520
1742830708902181000,998.5291811523438,1525
1742830711461860400,1001.0888603515625,1529
1742830714021559000,1003.6485590820313,1534
1742830716581282000,1006.2082819824219,1538
1742830719141025500,1008.7680256347656,1543
1742830721700775700,1011.3277756347657,1548
1742830724260528600,1013.8875285644531,1551
1742830726820277500,1016.4472775878907,1551
1742830729380024800,1019.0070249023438,1555
1742830731939778800,1021.5667788085938,1560
1742830734499536400,1024.126536376953,1564
1742830737059292700,1026.6862927246093,1569
1742830739619049200,1029.2460493164062,1573
1742830742178813000,1031.8058129882813,1578
1742830744738578400,1034.3655783691406,1583
1742830747298348300,1036.9253483886719,1587
1742830749858120000,1039.4851198730469,1592
1742830752417887000,1042.0448869628906,1597
1742830754977649200,1044.604649169922,1601
1742830757537408300,1047.164408203125,1606
1742830760097163300,1049.7241633300782,1610
1742830762656915700,1052.2839157714843,1615
1742830765216670500,1054.8436704101562,1619
1742830767776427000,1057.403427001953,1622
1742830770336183000,1059.9631831054687,1622
1742830772895933400,1062.5229333496093,1622
1742830775455680300,1065.0826801757812,1622
1742830778015424500,1067.642424560547,1622
1742830780575166000,1070.202166015625,1622
1742830783134900500,1072.761900390625,1622
1742830785694628400,1075.3216284179687,1633
1742830788254348800,1077.881348876953,1638
1742830790814075400,1080.441075439453,1642
1742830793373807400,1083.0008073730469,1647
1742830795933549300,1085.5605493164062,1651
1742830798493294000,1088.120294189453,1656
1742830801053033500,1090.6800334472657,1661
1742830803612771600,1093.239771484375,1665
1742830806172511000,1095.7995109863282,1669
1742830808732255500,1098.3592553710937,1674
1742830811292006400,1100.9190063476562,1678
1742830813851760400,1103.4787604980468,1683
1742830816411521800,1106.0385217285157,1687
1742830818971297500,1108.598297607422,1691
1742830821531089000,1111.1580888671874,1696
1742830824090899500,1113.7178994140625,1701
1742830826650735900,1116.2777358398437,1705
1742830829210594600,1118.8375944824218,1709
1742830831770464500,1121.3974645996093,1714
1742830834330339000,1123.957339111328,1719
1742830836890215400,1126.5172153320314,1723
1742830839450101000,1129.0771010742187,1728
1742830842009997300,1131.636997314453,1732
1742830844569899000,1134.1968989257812,1736
1742830847129802800,1136.756802734375,1739
1742830849689710000,1139.3167099609375,1739
1742830852249655000,1141.876655029297,1739
