time,seconds_elapsed,dBFS
1742830943824000000,1233.451,-56.88532638549805
1742830943924000000,1233.551,-55.24123001098633
1742830944026000000,1233.6529997558594,-56.01887130737305
1742830944127000000,1233.754,-55.74494171142578
1742830944228000000,1233.855,-54.461090087890625
1742830944329000000,1233.956,-54.13930130004883
1742830944430000000,1234.0570002441407,-54.73903274536133
1742830944531000000,1234.158,-55.74687957763672
1742830944631000000,1234.258,-50.4427375793457
1742830944733000000,1234.36,-52.751033782958984
1742830944833000000,1234.46,-53.41899490356445
1742830944934000000,1234.5610002441406,-50.609840393066406
1742830945036000000,1234.663,-51.70130920410156
1742830945137000000,1234.764,-52.062713623046875
1742830945238000000,1234.8650002441407,-49.69644546508789
1742830945339000000,1234.966,-50.94637680053711
1742830945440000000,1235.067,-52.01921844482422
1742830945541000000,1235.168,-50.48759078979492
1742830945642000000,1235.2689997558593,-51.684444427490234
1742830945743000000,1235.37,-51.764556884765625
1742830945844000000,1235.471,-52.943538665771484
1742830945945000000,1235.572,-52.60724639892578
1742830946046000000,1235.6730002441407,-52.30649185180664
1742830946146000000,1235.7729997558595,-52.2575569152832
1742830946248000000,1235.875,-51.90154266357422
1742830946349000000,1235.976,-52.34223175048828
1742830946449000000,1236.076,-52.80002975463867
1742830946550000000,1236.1770002441406,-52.96953582763672
1742830946651000000,1236.278,-53.01119613647461
1742830946752000000,1236.379,-51.89794921875
1742830946853000000,1236.48,-52.95139694213867
1742830946954000000,1236.5809997558595,-53.52986526489258
1742830947055000000,1236.682,-53.49763870239258
1742830947157000000,1236.784,-54.186614990234375
1742830947258000000,1236.8849997558593,-53.61686325073242
1742830947358000000,1236.9850002441406,-51.619529724121094
1742830947461000000,1237.088,-52.895931243896484
1742830947559000000,1237.186,-53.6967887878418
1742830947661000000,1237.288,-52.6026725769043
1742830947762000000,1237.3889997558595,-53.45633316040039
1742830947863000000,1237.49,-53.83483123779297
1742830947964000000,1237.591,-54.158355712890625
1742830948065000000,1237.692,-54.346561431884766
1742830948165000000,1237.792,-53.46674346923828
1742830948267000000,1237.894,-54.62239456176758
1742830948367000000,1237.994,-54.87448501586914
1742830948469000000,1238.096,-54.148109436035156
1742830948569000000,1238.196,-52.364158630371094
1742830948670000000,1238.2970002441407,-53.29563522338867
1742830948771000000,1238.398,-53.57139587402344
1742830948872000000,1238.499,-54.26339340209961
1742830948973000000,1238.6,-54.30693817138672
1742830949073000000,1238.7,-54.710472106933594
1742830949174000000,1238.8010002441406,-54.31521224975586
1742830949275000000,1238.902,-53.715450286865234
1742830949376000000,1239.003,-53.27632522583008
1742830949476000000,1239.103,-54.02424621582031
1742830949577000000,1239.204,-52.55094909667969
1742830949678000000,1239.3050002441407,-54.387481689453125
1742830949778000000,1239.4049997558593,-55.94833755493164
1742830949879000000,1239.506,-57.48509216308594
1742830949981000000,1239.608,-58.21882247924805
1742830950081000000,1239.708,-59.33906555175781
1742830950182000000,1239.8090002441406,-59.240318298339844
1742830950283000000,1239.91,-57.06853103637695
1742830950383000000,1240.01,-58.29310989379883
1742830950485000000,1240.112,-59.41599655151367
1742830950586000000,1240.2129997558593,-56.076515197753906
1742830950686000000,1240.3130002441405,-56.33803176879883
1742830950788000000,1240.415,-54.191009521484375
1742830950888000000,1240.515,-54.91352844238281
1742830950989000000,1240.616,-54.3503532409668
1742830951089000000,1240.716,-55.2541389465332
1742830951190000000,1240.8170002441407,-54.55846405029297
1742830951292000000,1240.919,-54.851383209228516
1742830951393000000,1241.02,-53.095645904541016
1742830951494000000,1241.1210002441405,-53.606285095214844
1742830951595000000,1241.222,-52.65108108520508
1742830951696000000,1241.323,-52.68632507324219
1742830951797000000,1241.424,-51.95455551147461
1742830951898000000,1241.5249997558594,-50.91034698486328
1742830951998000000,1241.6250002441407,-51.624053955078125
1742830952106000000,1241.7329997558593,-51.34779357910156
1742830952205000000,1241.832,-50.318885803222656
1742830952306000000,1241.9329997558593,-50.58451843261719
1742830952407000000,1242.034,-50.770999908447266
1742830952508000000,1242.135,-49.47702407836914
1742830952609000000,1242.236,-50.008949279785156
1742830952709000000,1242.336,-50.692352294921875
1742830952811000000,1242.438,-51.160823822021484
1742830952912000000,1242.539,-50.91261672973633
1742830953013000000,1242.64,-51.7635498046875
1742830953114000000,1242.7409997558593,-52.08403015136719
1742830953215000000,1242.842,-51.90868377685547
1742830953316000000,1242.943,-52.742000579833984
1742830953417000000,1243.044,-53.11648941040039
1742830953517000000,1243.144,-53.98744201660156
1742830953618000000,1243.2449997558595,-53.70436096191406
1742830953719000000,1243.346,-54.317657470703125
1742830953820000000,1243.447,-54.693870544433594
1742830953919000000,1243.546,-54.56836700439453
1742830954021000000,1243.648,-54.46444320678711
1742830954122000000,1243.7489997558594,-54.5465202331543
1742830954223000000,1243.85,-55.015296936035156
1742830954324000000,1243.951,-54.47283935546875
1742830954425000000,1244.052,-54.99622344970703
1742830954526000000,1244.1530002441407,-54.98452377319336
1742830954627000000,1244.254,-52.40238571166992
1742830954727000000,1244.354,-52.86506271362305
1742830954829000000,1244.456,-49.85779571533203
1742830954929000000,1244.556,-51.58116912841797
1742830955030000000,1244.6570002441406,-52.54802703857422
1742830955131000000,1244.758,-50.9205322265625
1742830955232000000,1244.859,-51.86256790161133
1742830955332000000,1244.959,-51.55866622924805
1742830955432000000,1245.059,-53.044498443603516
1742830955534000000,1245.1610002441407,-53.39255142211914
1742830955635000000,1245.262,-54.28445053100586
1742830955736000000,1245.363,-54.692237854003906
1742830955837000000,1245.464,-53.822540283203125
1742830955937000000,1245.564,-52.97012710571289
1742830956038000000,1245.6650002441406,-52.08706283569336
1742830956139000000,1245.766,-52.27232360839844
1742830956239000000,1245.866,-50.98970031738281
1742830956339000000,1245.966,-51.653717041015625
1742830956440000000,1246.067,-51.03366470336914
1742830956541000000,1246.168,-51.447715759277344
1742830956642000000,1246.2689997558593,-51.48259735107422
1742830956743000000,1246.37,-52.36096954345703
1742830956844000000,1246.471,-51.55177688598633
1742830956944000000,1246.571,-51.434566497802734
1742830957046000000,1246.6730002441407,-51.9498291015625
1742830957147000000,1246.774,-50.16121292114258
1742830957248000000,1246.875,-51.012630462646484
1742830957348000000,1246.975,-51.745479583740234
1742830957450000000,1247.0769997558593,-52.26660919189453
1742830957550000000,1247.1770002441406,-52.76012420654297
1742830957651000000,1247.278,-52.29095458984375
1742830957752000000,1247.379,-52.70273971557617
1742830957853000000,1247.48,-50.91660690307617
1742830957954000000,1247.5809997558595,-50.952049255371094
1742830958055000000,1247.682,-48.77006912231445
1742830958156000000,1247.783,-50.25387954711914
1742830958257000000,1247.884,-48.897891998291016
1742830958357000000,1247.984,-49.81439208984375
1742830958459000000,1248.086,-51.65192794799805
1742830958560000000,1248.187,-48.32954025268555
1742830958661000000,1248.288,-49.58692932128906
1742830958762000000,1248.3889997558595,-51.256778717041016
1742830958863000000,1248.49,-52.06911087036133
1742830958963000000,1248.59,-51.89630889892578
1742830959063000000,1248.69,-52.177913665771484
1742830959164000000,1248.791,-52.818355560302734
1742830959265000000,1248.892,-52.46739959716797
1742830959365000000,1248.992,-53.27328109741211
1742830959466000000,1249.0929997558594,-52.19154739379883
1742830959565000000,1249.192,-50.876224517822266
1742830959666000000,1249.2929997558595,-51.865726470947266
1742830959767000000,1249.394,-52.75389862060547
1742830959869000000,1249.496,-52.22707748413086
1742830959970000000,1249.5969997558593,-51.151695251464844
1742830960070000000,1249.6970002441406,-51.47624206542969
1742830960171000000,1249.798,-51.545082092285156
1742830960273000000,1249.9,-52.02836990356445
1742830960373000000,1250,-52.588253021240234
1742830960475000000,1250.102,-53.402034759521484
1742830960575000000,1250.202,-53.455177307128906
1742830960677000000,1250.304,-53.826419830322266
1742830960777000000,1250.404,-53.54451370239258
1742830960877000000,1250.504,-53.37721252441406
1742830960978000000,1250.6049997558594,-54.01576614379883
1742830961079000000,1250.706,-54.202938079833984
1742830961180000000,1250.807,-53.159698486328125
1742830961281000000,1250.908,-51.933815002441406
1742830961383000000,1251.01,-51.03422927856445
1742830961485000000,1251.112,-51.86185073852539
1742830961586000000,1251.2129997558593,-52.40680694580078
1742830961687000000,1251.314,-52.94990921020508
1742830961787000000,1251.414,-53.056095123291016
1742830961888000000,1251.515,-53.06159591674805
1742830961989000000,1251.616,-51.11735153198242
1742830962090000000,1251.7169997558594,-49.92221450805664
1742830962191000000,1251.818,-49.920955657958984
1742830962292000000,1251.919,-49.40806579589844
1742830962391000000,1252.018,-51.022117614746094
1742830962493000000,1252.12,-48.23897933959961
1742830962594000000,1252.2209997558593,-49.20404815673828
1742830962695000000,1252.322,-50.05162811279297
1742830962796000000,1252.423,-50.13188934326172
1742830962896000000,1252.523,-49.427249908447266
1742830962996000000,1252.623,-50.070457458496094
1742830963096000000,1252.723,-49.56661605834961
1742830963198000000,1252.8250002441407,-48.87508773803711
1742830963299000000,1252.926,-50.074466705322266
1742830963399000000,1253.026,-50.78471374511719
1742830963501000000,1253.128,-49.368751525878906
1742830963602000000,1253.2289997558594,-49.77419662475586
1742830963703000000,1253.33,-48.966129302978516
1742830963804000000,1253.431,-49.589439392089844
1742830963906000000,1253.5329997558595,-50.14249038696289
1742830964006000000,1253.6330002441407,-50.731014251708984
1742830964107000000,1253.734,-51.26032257080078
1742830964208000000,1253.835,-49.1965217590332
1742830964309000000,1253.936,-49.109493255615234
1742830964410000000,1254.0369997558594,-48.41157913208008
1742830964510000000,1254.1370002441406,-46.47985076904297
1742830964611000000,1254.238,-48.27386474609375
1742830964712000000,1254.339,-48.45597457885742
1742830964813000000,1254.44,-49.189903259277344
1742830964914000000,1254.5409997558593,-50.12965393066406
1742830965015000000,1254.642,-47.07633590698242
1742830965116000000,1254.743,-47.26628875732422
1742830965217000000,1254.844,-47.4019775390625
1742830965317000000,1254.944,-47.700077056884766
1742830965417000000,1255.044,-44.98543167114258
1742830965518000000,1255.1450002441406,-45.378395080566406
1742830965619000000,1255.246,-45.36164474487305
1742830965720000000,1255.347,-45.826629638671875
1742830965821000000,1255.448,-47.28239059448242
1742830965921000000,1255.548,-47.900917053222656
1742830966023000000,1255.65,-47.4121208190918
1742830966124000000,1255.751,-46.258358001708984
1742830966225000000,1255.852,-45.64925765991211
1742830966325000000,1255.952,-46.23075866699219
1742830966427000000,1256.054,-46.34158706665039
1742830966528000000,1256.155,-47.65814208984375
1742830966629000000,1256.256,-45.87830352783203
1742830966729000000,1256.356,-46.82130432128906
1742830966830000000,1256.4570002441405,-47.262237548828125
1742830966930000000,1256.5569997558594,-45.654571533203125
1742830967030000000,1256.6570002441406,-46.70802307128906
1742830967131000000,1256.758,-45.91367721557617
1742830967231000000,1256.858,-46.987945556640625
1742830967333000000,1256.96,-47.11949920654297
1742830967433000000,1257.06,-45.88792037963867
1742830967535000000,1257.162,-46.67145919799805
1742830967636000000,1257.263,-43.14832305908203
1742830967737000000,1257.364,-43.988616943359375
1742830967838000000,1257.4650002441406,-45.08377456665039
1742830967939000000,1257.566,-46.48732376098633
1742830968040000000,1257.667,-46.830257415771484
1742830968141000000,1257.768,-46.746246337890625
1742830968242000000,1257.8689997558595,-46.250343322753906
1742830968343000000,1257.97,-46.86153793334961
1742830968444000000,1258.071,-41.37971878051758
1742830968545000000,1258.172,-42.538700103759766
1742830968645000000,1258.272,-42.838172912597656
1742830968746000000,1258.3729997558594,-42.21246337890625
1742830968847000000,1258.474,-42.69845199584961
1742830968948000000,1258.575,-43.2236442565918
1742830969049000000,1258.676,-40.9697265625
1742830969150000000,1258.7770002441407,-40.4509162902832
1742830969250000000,1258.8769997558593,-40.90276336669922
1742830969350000000,1258.9770002441405,-40.649452209472656
1742830969451000000,1259.078,-40.82566452026367
1742830969552000000,1259.179,-41.39912033081055
1742830969652000000,1259.279,-42.25091552734375
1742830969753000000,1259.38,-43.20651626586914
1742830969854000000,1259.4810002441407,-41.96601486206055
1742830969955000000,1259.582,-42.15052795410156
1742830970056000000,1259.683,-42.27387237548828
1742830970157000000,1259.784,-43.04719161987305
1742830970258000000,1259.8849997558593,-43.98539733886719
1742830970358000000,1259.9850002441406,-39.640953063964844
1742830970460000000,1260.087,-41.912967681884766
1742830970560000000,1260.187,-41.022186279296875
1742830970660000000,1260.287,-42.42870330810547
1742830970760000000,1260.387,-43.52610397338867
1742830970861000000,1260.488,-44.566200256347656
1742830970961000000,1260.588,-45.3895263671875
1742830971062000000,1260.6890002441405,-45.9503288269043
1742830971163000000,1260.79,-46.664085388183594
1742830971264000000,1260.891,-46.259822845458984
1742830971365000000,1260.992,-46.82325744628906
1742830971466000000,1261.0929997558594,-47.420997619628906
1742830971566000000,1261.1930002441406,-45.76870346069336
1742830971667000000,1261.294,-46.787960052490234
1742830971768000000,1261.395,-47.0261116027832
1742830971869000000,1261.496,-46.67402648925781
1742830971970000000,1261.5969997558593,-47.73447799682617
1742830972071000000,1261.698,-48.39006805419922
1742830972172000000,1261.799,-45.0457878112793
1742830972272000000,1261.899,-46.67505645751953
