time,seconds_elapsed,bpm
1733922886998134500,1602.4231345214844,92.00000000000001
1733922895998134500,1611.4231345214844,93
1733922898998134500,1614.4231345214844,94
1733922902998134500,1618.4231345214844,94
1733922906998134500,1622.4231345214844,94
1733922911998134500,1627.4231345214844,96
1733922916998134500,1632.4231345214844,97
1733922925998134500,1641.4231345214844,100
1733922926998134500,1642.4231345214844,100
1733922935998134500,1651.4231345214844,100
1733922940998134500,1656.4231345214844,99
1733922941998134500,1657.4231345214844,99
1733922947998134500,1663.4231345214844,99
1733922951998134500,1667.4231345214844,99
1733922956998134500,1672.4231345214844,99
1733922962998134500,1678.4231345214844,100
1733922966998134500,1682.4231345214844,100
1733922975998134500,1691.4231345214844,100
1733922979998134500,1695.4231345214844,101
1733922984998134500,1700.4231345214844,101
1733922990998134500,1706.4231345214844,101
1733922994998134500,1710.4231345214844,100
1733922999998134500,1715.4231345214844,101
1733923001998134500,1717.4231345214844,101
1733923008998134500,1724.4231345214844,101
1733923015998134500,1731.4231345214844,100
1733923016998134500,1732.4231345214844,100
1733923025998134500,1741.4231345214844,98
1733923026998134500,1742.4231345214844,98
1733923035998134500,1751.4231345214844,97
1733923036998134500,1752.4231345214844,97
1733923044998134500,1760.4231345214844,95
1733923047998134500,1763.4231345214844,94
1733923053998134500,1769.4231345214844,93
1733923056998134500,1772.4231345214844,92.00000000000001
1733923062998134500,1778.4231345214844,90
1733923066998134500,1782.4231345214844,90
1733923075998134500,1791.4231345214844,89
1733923079998134500,1795.4231345214844,89
1733923085998134500,1801.4231345214844,93
1733923093998134500,1809.4231345214844,95
1733923096998134500,1812.4231345214844,95
1733923101998134500,1817.4231345214844,95
1733923106998134500,1822.4231345214844,97
1733923115998134500,1831.4231345214844,98
1733923120998134500,1836.4231345214844,97
1733923121998134500,1837.4231345214844,97
1733923130998134500,1846.4231345214844,97
1733923135998134500,1851.4231345214844,96
1733923136998134500,1852.4231345214844,97
1733923141998134500,1857.4231345214844,97
1733923150998134500,1866.4231345214844,97
